"@timestamp,""http_duration"""
"Sep 18, 2024 @ 17:22:11.325,981"
"Sep 18, 2024 @ 17:22:11.306,554"
"Sep 18, 2024 @ 17:22:11.071,519"
"Sep 18, 2024 @ 17:22:11.038,9347"
"Sep 18, 2024 @ 17:22:10.919,560"
"Sep 18, 2024 @ 17:22:10.919,599"
"Sep 18, 2024 @ 17:22:10.877,494"
"Sep 18, 2024 @ 17:22:10.780,480"
"Sep 18, 2024 @ 17:22:10.766,556"
"Sep 18, 2024 @ 17:22:10.766,576"
"Sep 18, 2024 @ 17:22:10.764,787"
"Sep 18, 2024 @ 17:22:10.671,542"
"Sep 18, 2024 @ 17:22:10.450,4973"
"Sep 18, 2024 @ 17:22:10.373,680"
"Sep 18, 2024 @ 17:22:10.171,1129"
"Sep 18, 2024 @ 17:22:10.136,655"
"Sep 18, 2024 @ 17:22:10.124,694"
"Sep 18, 2024 @ 17:22:10.121,727"
"Sep 18, 2024 @ 17:22:10.051,720"
"Sep 18, 2024 @ 17:22:09.969,853"
"Sep 18, 2024 @ 17:22:09.966,885"
"Sep 18, 2024 @ 17:22:09.955,691"
"Sep 18, 2024 @ 17:22:09.858,987"
"Sep 18, 2024 @ 17:22:09.773,597"
"Sep 18, 2024 @ 17:22:09.671,621"
"Sep 18, 2024 @ 17:22:09.663,9690"
"Sep 18, 2024 @ 17:22:09.584,623"
"Sep 18, 2024 @ 17:22:09.542,488"
"Sep 18, 2024 @ 17:22:09.408,457"
"Sep 18, 2024 @ 17:22:09.213,485"
"Sep 18, 2024 @ 17:22:09.209,488"
"Sep 18, 2024 @ 17:22:09.082,523"
"Sep 18, 2024 @ 17:22:08.971,572"
"Sep 18, 2024 @ 17:22:08.950,592"
"Sep 18, 2024 @ 17:22:08.931,589"
"Sep 18, 2024 @ 17:22:08.837,529"
"Sep 18, 2024 @ 17:22:08.824,510"
"Sep 18, 2024 @ 17:22:08.759,544"
"Sep 18, 2024 @ 17:22:08.680,581"
"Sep 18, 2024 @ 17:22:08.562,377"
"Sep 18, 2024 @ 17:22:08.561,398"
"Sep 18, 2024 @ 17:22:08.466,401"
"Sep 18, 2024 @ 17:22:08.400,432"
"Sep 18, 2024 @ 17:22:08.362,473"
"Sep 18, 2024 @ 17:22:08.362,455"
"Sep 18, 2024 @ 17:22:08.358,457"
"Sep 18, 2024 @ 17:22:08.334,399"
"Sep 18, 2024 @ 17:22:08.295,481"
"Sep 18, 2024 @ 17:22:08.220,425"
"Sep 18, 2024 @ 17:22:08.181,414"
"Sep 18, 2024 @ 17:22:08.181,415"
"Sep 18, 2024 @ 17:22:08.154,413"
"Sep 18, 2024 @ 17:22:08.137,417"
"Sep 18, 2024 @ 17:22:08.111,430"
"Sep 18, 2024 @ 17:22:08.009,529"
"Sep 18, 2024 @ 17:22:07.860,597"
"Sep 18, 2024 @ 17:22:07.826,615"
"Sep 18, 2024 @ 17:22:07.773,643"
"Sep 18, 2024 @ 17:22:07.637,712"
"Sep 18, 2024 @ 17:22:07.496,7745"
"Sep 18, 2024 @ 17:22:07.458,827"
"Sep 18, 2024 @ 17:22:07.458,718"
"Sep 18, 2024 @ 17:22:07.443,838"
"Sep 18, 2024 @ 17:22:07.431,706"
"Sep 18, 2024 @ 17:22:07.431,751"
"Sep 18, 2024 @ 17:22:07.417,729"
"Sep 18, 2024 @ 17:22:07.361,645"
"Sep 18, 2024 @ 17:22:07.335,8099"
"Sep 18, 2024 @ 17:22:07.244,8228"
"Sep 18, 2024 @ 17:22:07.184,739"
"Sep 18, 2024 @ 17:22:07.124,706"
"Sep 18, 2024 @ 17:22:07.064,773"
"Sep 18, 2024 @ 17:22:06.953,778"
"Sep 18, 2024 @ 17:22:06.942,863"
"Sep 18, 2024 @ 17:22:06.838,765"
"Sep 18, 2024 @ 17:22:06.832,704"
"Sep 18, 2024 @ 17:22:06.823,705"
"Sep 18, 2024 @ 17:22:06.822,13236"
"Sep 18, 2024 @ 17:22:06.820,717"
"Sep 18, 2024 @ 17:22:06.711,749"
"Sep 18, 2024 @ 17:22:06.645,13342"
"Sep 18, 2024 @ 17:22:06.376,795"
"Sep 18, 2024 @ 17:22:06.236,821"
"Sep 18, 2024 @ 17:22:06.224,839"
"Sep 18, 2024 @ 17:22:06.223,730"
"Sep 18, 2024 @ 17:22:06.216,1241"
"Sep 18, 2024 @ 17:22:06.201,1260"
"Sep 18, 2024 @ 17:22:06.145,800"
"Sep 18, 2024 @ 17:22:06.141,1365"
"Sep 18, 2024 @ 17:22:06.125,1376"
